id,SALES,IT ORGANIZATION,IT LABOUR,IT STOCK,FIREWALL,SIZE,AGE,LABOUR,CAPITAL,MATERIAL,NOT,ERP,CRM,BOTH
3,17.50624,1,0.1460674,4.248495,0,1,1.791759,4.304065,16.09778,17.2281,1,0,0,0
4,14.51331,0,0.375,1.386294,0,0,2.302585,2.302585,14.18018,14.47872,1,0,0,0
5,17.16365,0,0.6818182,3.218876,1,0,2.890372,3.806663,15.3296,17.04706,0,1,0,0
6,16.66092,0,1,5.075174,0,1,2.079442,4.094345,15.20861,16.31905,1,0,0,0
7,17.62893,0,0.9375,4.574711,0,1,1.791759,4.49981,17.52989,17.37615,1,0,0,0
8,20.24232,1,1,6.109248,1,2,2.772589,6.313548,18.41478,19.97065,0,0,0,1
9,20.4294,1,0.3976143,7.272398,1,2,3.091043,7.444249,20.25565,20.28593,0,0,0,1
10,23.94662,1,0.9865267,9.966885,1,2,3.78419,9.924074,24.79572,23.8426,0,0,0,1
11,15.92845,0,0.6969697,3.401197,0,0,1.791759,3.526361,15.18987,15.39122,0,1,0,0
12,21.76957,1,0.7437604,7.32975,1,2,1.386294,7.498316,21.86442,21.68995,1,0,0,0
14,17.83091,0,0.125,4.41884,0,2,1.94591,6.113682,15.71359,17.76893,0,1,0,0
15,19.55922,1,0.6888889,4.867535,0,2,2.833213,5.932245,16.14351,19.43748,0,1,0,0
16,16.17581,0,0.3448276,3.637586,0,0,1.791759,3.73767,14.9448,15.8874,1,0,0,0
18,17.95989,0,1,4.70048,1,1,2.995732,4.382027,16.8667,17.83761,1,0,0,0
19,15.96524,1,0.2266667,3.526361,0,1,3.433987,4.663439,15.81915,15.87649,0,1,0,0
20,16.26143,0,0.862069,3.258096,1,0,3.135494,3.401197,14.97651,16.16577,1,0,0,0
21,19.3725,0,0.0784314,4.174387,1,2,2.639057,5.676754,17.56609,19.34504,0,1,0,0
22,16.46591,1,0.9693878,5.075174,1,1,2.197225,4.553877,16.18119,16.48027,0,1,0,0
23,20.82212,1,0.5986159,7.727535,1,2,3.433987,8.020927,20.10844,20.56487,0,0,0,1
24,17.14951,1,0.99,4.75359,0,1,2.397895,4.532599,15.68865,17.06056,1,0,0,0
25,17.41081,0,0.5,3.73767,0,1,2.484907,4.330733,15.9575,17.42247,0,1,0,0
26,18.57323,0,0.4166667,5.843544,0,2,2.639057,6.016157,17.83934,18.49013,1,0,0,0
30,18.21104,0,0.0631579,2.397895,0,2,1.791759,5.257495,16.07583,18.16678,1,0,0,0
31,18.47326,1,1,5.438079,1,2,2.484907,5.568345,16.2496,18.29378,0,1,0,0
32,16.52707,0,1,4.094345,0,1,1.609438,3.970292,15.51615,16.16637,0,1,0,0
34,18.17383,0,0.25,3.332205,0,1,2.302585,4.532599,15.7458,18.12485,1,0,0,0
35,18.77116,1,0.6333333,5.273,1,2,3.401197,5.641907,17.67253,18.60407,0,1,0,0
37,16.69166,0,0.5,1.94591,0,0,1.386294,2.944439,13.20834,16.57263,1,0,0,0
38,17.50776,0,1,4.941642,0,1,1.609438,5.010635,15.80071,17.35796,0,1,0,0
40,19.13748,0,0.6521739,3.526361,0,1,1.386294,3.637586,16.10497,19.09499,0,1,0,0
41,17.82785,0,0.6271186,3.610918,0,1,2.197225,4.094345,16.25344,17.59761,0,1,0,0
42,17.27144,1,0,3.7612,0,1,2.302585,4.532599,15.83328,17.16503,0,1,0,0
44,19.30968,1,0.9574468,5.849325,1,2,3.951244,5.703783,18.28508,19.12539,0,0,0,1
45,20.44459,1,0.8247423,6.723833,1,2,1.609438,6.704414,19.86914,20.39557,0,0,0,1
46,19.22701,1,0.8416422,5.857933,1,2,3.332205,5.880533,18.2939,19.0164,0,0,0,1
48,17.41764,1,0,2.995732,0,1,2.197225,3.951244,16.49919,17.33083,0,1,0,0
50,19.0516,1,0.9006622,4.718499,1,1,2.890372,4.941642,17.40524,18.98199,0,1,0,0
51,17.39139,1,0.9135802,4.26268,0,1,1.791759,4.488636,15.5382,17.14031,1,0,0,0
52,18.70046,1,0.33241,4.787492,1,2,3.465736,5.886104,17.40593,18.60576,0,0,0,1
53,17.09049,1,0.2,3.091043,0,1,2.397895,4.382027,15.92495,17.00483,0,1,0,0
54,21.48905,1,0.44,7.118826,1,2,3.970292,7.96624,21.70267,21.38536,0,1,0,0
55,16.38031,1,0.1692308,2.564949,0,1,1.609438,3.912023,15.08831,16.12474,0,1,0,0
56,18.91511,0,0.46875,5.192957,0,2,1.609438,5.501258,17.27686,18.55225,0,1,0,0
57,16.36187,0,0.375,1.609438,0,0,1.609438,2.079442,14.12026,16.27046,1,0,0,0
58,18.73648,0,0.3,3.555348,0,1,3.433987,4.70953,16.82934,18.69654,1,0,0,0
59,18.76538,1,0.3488372,5.393628,1,2,2.944439,6.280396,17.96543,18.68333,0,1,0,0
60,18.66948,1,0.7736626,5.257495,1,2,3.433987,5.308268,17.24708,18.42008,0,0,0,1
61,16.74597,0,0.8163266,4.60517,1,1,2.70805,4.26268,16.19507,16.83387,0,0,0,1
62,17.4982,0,0,3.433987,0,0,2.564949,3.496508,15.7868,17.33132,1,0,0,0
63,18.9935,1,0.5136778,5.159055,1,2,2.833213,5.786897,17.49715,18.91594,1,0,0,0
64,18.58079,1,0.275,4.060443,1,2,2.564949,5.288267,17.6781,18.45936,1,0,0,0
65,16.94123,0,0.4878049,3.401197,0,1,3.332205,4.787492,17.04012,16.82846,0,0,0,1
66,18.18224,1,0.4545455,4.867535,0,2,3.178054,5.220356,16.04836,18.05696,1,0,0,0
69,17.84182,1,0.0215054,4.317488,1,1,3.465736,4.49981,15.33314,17.52517,0,1,0,0
