observat,dist_cod,county,district,testscr,read_scr,math_scr,str,avginc,meal_pct,enrl_tot,teachers,calw_pct,computer,comp_stu,expn_stu,el_pct
1,75119,Alameda,Sunol Glen Unified,690.8,691.6,690,17.88991,22.69,2.0408,195,10.9,0.5102,67,0.3435898,6384.911,0
2,61499,Butte,Manzanita Elementary,661.2,660.5,661.9,21.52466,9.824,47.9167,240,11.15,15.4167,101,0.4208333,5099.381,4.583333
3,61549,Butte,Thermalito Union Elementary,643.6,636.3,650.9,18.69723,8.978,76.3226,1550,82.9,55.0323,169,0.1090323,5501.955,30
4,61457,Butte,Golden Feather Union Elementary,647.7,651.9,643.5,17.35714,8.978,77.0492,243,14,36.4754,85,0.3497942,7101.831,0
5,61523,Butte,Palermo Union Elementary,640.85,641.8,639.9,18.67133,9.080333,78.427,1335,71.5,33.1086,171,0.1280899,5235.988,13.85768
6,62042,Fresno,Burrel Union Elementary,605.55,605.7,605.4,21.40625,10.415,86.9565,137,6.4,12.3188,25,0.1824818,5580.147,12.40876
7,68536,San Joaquin,Holt Union Elementary,606.75,604.5,609,19.5,6.577,94.6237,195,10,12.9032,28,0.1435897,5253.331,68.71795
8,63834,Kern,Vineland Elementary,609,605.5,612.5,20.89412,8.174,100,888,42.5,18.8063,66,0.0743243,4565.746,46.95946
9,62331,Fresno,Orange Center Elementary,612.5,608.9,616.1,19.94737,7.385,93.1398,379,19,32.19,35,0.0923483,5355.548,30.07916
10,67306,Sacramento,Del Paso Heights Elementary,612.65,611.9,613.4,20.80556,11.61333,87.3164,2247,108,78.9942,0,0,5036.211,40.27592
11,65722,Merced,Le Grand Union Elementary,615.75,612.8,618.7,21.23809,8.931,85.8744,446,21,18.6099,86,0.1928251,4547.692,52.9148
12,62174,Fresno,West Fresno Elementary,616.3,616.6,616,21,7.385,98.6056,987,47,71.7131,56,0.0567376,5447.345,54.60993
13,71795,Tulare,Allensworth Elementary,616.3,612.8,619.8,20.6,5.335,98.1308,103,5,22.4299,25,0.2427184,6567.149,42.71844
14,72181,Tulare,Sunnyside Union Elementary,616.3,610,622.6,20.00822,8.279,77.1484,487,24.34,24.6094,0,0,4818.613,20.53388
15,72298,Tulare,Woodville Elementary,616.45,611.9,621,18.02778,9.63,76.2712,649,36,14.6379,31,0.0477658,5621.456,80.12326
16,72041,Tulare,Pixley Union Elementary,617.35,614.8,619.9,20.25196,7.454,94.2957,852,42.07,24.2142,80,0.0938967,6026.36,49.41314
17,63594,Kern,Lost Hills Union Elementary,618.05,611.7,624.4,16.97787,6.216,97.7597,491,28.92,11.2016,100,0.203666,6723.238,85.53972
18,63370,Kern,Buttonwillow Union Elementary,618.3,614.9,621.7,16.5098,7.764,77.9097,421,25.5,8.5511,50,0.1187648,5589.885,58.90736
19,64709,Los Angeles,Lennox Elementary,619.8,619.1,620.5,22.70402,7.022,94.9712,6880,303.03,21.2824,960,0.1395349,5064.616,77.00581
20,63560,Kern,Lamont Elementary,620.3,621.3,619.3,19.91111,5.699,93.2292,2688,135,23.4375,139,0.0517113,5433.593,49.81399
21,63230,Imperial,Westmorland Union Elementary,620.5,615.6,625.4,18.33333,7.941,100,440,24,34.7727,69,0.1568182,5725.563,40.68182
22,72058,Tulare,Pleasant View Elementary,621.4,619.9,622.9,22.61905,9.63,91.5464,475,21,21.6495,53,0.1115789,4542.105,16.21053
23,63842,Kern,Wasco Union Elementary,621.75,622.9,620.6,19.44828,7.405,70.8167,2538,130.5,18.9111,169,0.0665879,5107.086,45.07486
24,71811,Tulare,Alta Vista Elementary,622.05,620.7,623.4,25.05263,9.63,100,476,19,43.8559,0,0,4659.662,39.07563
25,65748,Merced,Livingston Union Elementary,622.6,619.5,625.7,20.67544,8.019,90.6237,2357,114,16.801,216,0.0916419,4555.464,76.66525
26,72272,Tulare,Woodlake Union Elementary,623.1,625,621.2,18.68235,8.523,85.1472,1588,85,22.4072,198,0.1246851,5415.153,40.49118
27,65961,Monterey,Alisal Union Elementary,623.2,620.4,626,22.84553,7.983181,88.0349,7306,319.8,17.0015,742,0.1015604,4997.872,73.72023
28,63313,Kern,Arvin Union Elementary,623.45,616.5,630.4,19.26667,7.305,92.1953,2601,135,15.0711,269,0.1034218,5223.912,70.01154
29,72199,Tulare,Terra Bella Union Elementary,623.6,620.1,627.1,19.25,8.934,90.2007,847,44,16.2928,67,0.0791027,5139.165,55.96222
30,72215,Tulare,Tipton Elementary,624.15,627.9,620.4,20.54545,8.554,81.0235,452,22,14.4989,55,0.1216814,4614.252,11.06195
31,68379,San Diego,San Ysidro Elementary,624.55,620.4,628.7,20.60697,6.613,81.5065,4142,201,35.5625,569,0.1373733,5342.233,80.42009
32,75440,Monterey,Soledad Unified,624.95,623,626.9,21.07268,12.409,90.2849,2102,99.75,15.3199,224,0.1065652,5347.458,63.13036
